VarName1,VarName2,VarName3,VarName4,VarName5,VarName6
0.21,0.21,0.21,0.21,0.05,0.45
0.5,0.5,0.5,0.5,0.05,0.3
0.3,0.3,0.3,0.3,0.03,0.17
0.24,0.24,0.24,0.24,0.11,0.18
0.4,0.4,0.4,0.4,0.08,0.45
0.35,0.35,0.35,0.35,0.21,0.32
0.51,0.51,0.51,0.51,0.3,0.4
