x,y,z
17.4851659507063,17.0068823660872,4.97289769687168
17.5330828627896,12.9969390641058,7.04133373615017
17.5085264091153,4.95119020695012,6.96523780189692
17.5049723608291,0.983712264439888,5.03258169774896
22.541719366383,16.9662182308193,5.00383424352601
27.478583901882,13.0294284540684,7.04961347166269
22.5257200229111,4.98112150420448,6.95781755287532
22.5253729094279,1.00285331355062,4.99426782697754
27.4880445846975,16.96656487295,4.96066527701806
22.5067821640725,13.0101981941402,7.04618980808551
27.4575854289563,4.97629712845401,6.95046342241341
27.4553950118667,1.01540790984768,5.02749104647115
34.0030797553009,15.018921450314,5.03173032206534
34.0279167230102,11.0248151592824,5.03686947053635
34.0434010684229,6.99505415985025,4.95844358455109
33.9629906208474,2.95838213779969,4.98997826490989
