VarName1,VarName2,VarName3
14.9759870402851,14.9901808033752,6.02802520683211
15.0300068480224,10.9575966691691,5.98897388369613
14.9931413827464,6.97399161535537,5.97416912859138
15.041064759443,2.96233189348352,5.99039121455881
19.9681847028303,14.9683907788282,5.95964545251684
19.9763802916522,10.9739952525665,5.96319732926063
19.9645538980385,6.99172670690844,6.04420505907755
19.9636068558709,2.95496544303257,6.04561345402298
25.036929220764,15.0402716109915,6.00752085950785
25.0079704587366,11.0444787189722,5.95597795429472
25.0049860201836,6.99908640924681,5.97347799133724
24.9644954798224,2.99892526384,5.98531585712221
30.0353031117722,14.9837719409821,6.0321194040198
30.0122055131485,11.0400053846418,5.95154034376516
29.9850952380892,6.98692467811202,5.95430238016578
30.0013249539867,2.96112027552938,5.96689900294627
